threshold_n,predicted_positive_accounts,true_positive,false_positive,false_negative,true_negative,precision,recall,f1,accuracy
3,351,331,20,69,5980,0.9430199430199431,0.8275,0.8814913448735019,0.98609375
4,309,304,5,96,5995,0.9838187702265372,0.76,0.857545839210155,0.98421875
5,282,281,1,119,5999,0.9964539007092199,0.7025,0.8240469208211144,0.98125
6,257,256,1,144,5999,0.9961089494163424,0.64,0.7792998477929984,0.97734375
8,188,187,1,213,5999,0.9946808510638298,0.4675,0.6360544217687075,0.9665625
10,144,143,1,257,5999,0.9930555555555556,0.3575,0.5257352941176471,0.9596875
12,91,91,0,309,6000,1.0,0.2275,0.37067209775967414,0.95171875
